City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,palopo,-2.9996,120.1921,29.2,58,98,1.86,ID,1697075110
83,mount pearl,47.5166,-52.7813,11.75,97,75,2.06,CA,1697075110
84,rongelap,11.1635,166.8941,28.46,76,50,5.37,MH,1697074561
85,sharlyk,52.9167,54.75,0.4,93,33,2.66,RU,1697075110
86,xai-xai,-25.0519,33.6442,21.67,80,44,4.52,MZ,1697075111
87,san patricio,28.017,-97.5169,24.05,87,92,2.77,US,1697075111
88,borba,-4.3878,-59.5939,31.67,36,80,1.02,BR,1697075111
89,itapolis,-21.5956,-48.8128,26.87,50,49,0.05,BR,1697074811
90,vila velha,-20.3297,-40.2925,23.97,89,40,4.63,BR,1697074575
91,ilave,-16.0833,-69.6667,10.58,67,33,1.82,PE,1697075112
92,whitehorse,60.7161,-135.0538,6.43,81,75,2.06,CA,1697075050
93,severobaykal'sk,55.65,109.3167,6.95,79,25,0.12,RU,1697075112
94,al matariyah,31.1829,32.0311,21.97,73,0,3.96,EG,1697075112
95,isafjordur,66.0755,-23.124,1.64,86,100,16.17,IS,1697074525
96,thompson,55.7435,-97.8558,7.09,53,40,2.57,CA,1697074525
97,holualoa,19.6228,-155.9522,26.91,76,75,5.14,US,1697074598
98,wailua homesteads,22.0669,-159.378,29.24,74,0,6.17,US,1697074402
99,vorgashor,67.5833,63.95,-0.64,83,100,0.91,RU,1697074584
100,dimapur,25.9,93.7333,24.35,91,12,0.25,IN,1697075113
101,porto novo,6.4965,2.6036,25.1,90,100,1.57,BJ,1697074547
102,jamestown,42.097,-79.2353,9.77,98,100,1.54,US,1697074299
103,murzuq,25.9155,13.9184,20.62,33,0,3.97,LY,1697074273
104,colonia,50.9333,6.95,20.13,63,20,6.17,DE,1697074518
105,kura,11.7697,8.4303,24.0,40,39,0.54,NG,1697075114
106,bako,5.7833,36.5667,17.67,89,99,0.95,ET,1697075114
107,urangan,-25.3,152.9,22.73,59,0,2.58,AU,1697075114
108,papatowai,-46.5619,169.4708,12.42,61,60,7.78,NZ,1697074567
109,polyarnyy,69.1989,33.4478,0.24,84,97,11.34,RU,1697074573
110,cangucu,-31.395,-52.6756,10.56,97,100,5.36,BR,1697075114
111,minas de marcona,-15.2119,-75.1103,13.66,85,99,6.4,PE,1697074577
112,booue,-0.0921,11.9385,22.37,100,97,0.7,GA,1697075115
113,punta arenas,-53.15,-70.9167,6.06,75,40,10.29,CL,1697074538
114,qaqortoq,60.7167,-46.0333,2.12,88,8,1.62,GL,1697074516
115,invercargill,-46.4,168.35,12.23,78,96,6.71,NZ,1697074537
116,kerikeri,-35.2268,173.9474,18.84,65,7,1.34,NZ,1697074534
117,ambon,-3.6954,128.1814,28.08,78,40,1.54,ID,1697074585
118,ramhormoz,31.28,49.6035,27.11,43,18,1.4,IR,1697075116
119,gambela,8.25,34.5833,20.97,96,88,0.65,ET,1697075116
120,yeniseysk,58.4497,92.1703,9.41,72,100,6.71,RU,1697075116
121,gao,16.6362,1.637,29.34,14,19,4.78,ML,1697075116
122,staufen,47.75,8.2167,16.09,71,100,1.42,DE,1697075117
123,show low,34.2542,-110.0298,17.16,29,0,7.72,US,1697075117
124,st. john's,47.5649,-52.7093,12.31,97,75,2.06,CA,1697074600
